student_id,course_id,semester,grade,passed,modality_match,risk_class
S0000,C004,1,2.74,1,1,Low
S0000,C010,1,2.38,1,0,Medium
S0000,C001,1,2.72,1,1,Low
S0000,C009,1,2.48,1,0,Medium
S0000,C006,2,2.51,1,0,Low
S0000,C003,2,2.44,1,0,Medium
S0000,C002,2,2.42,1,0,Medium
S0000,C007,2,2.5,1,0,Low
S0000,C012,3,2.35,1,0,Medium
S0000,C020,3,2.4,1,0,Medium
S0000,C019,3,2.62,1,1,Low
S0000,C016,3,2.7,1,1,Low
S0000,C015,4,2.39,1,0,Medium
S0000,C021,4,2.4,1,0,Medium
S0000,C011,4,2.35,1,0,Medium
S0000,C018,4,2.31,1,0,Medium
S0000,C027,5,2.46,1,1,Medium
S0000,C031,5,2.47,1,0,Medium
S0000,C024,5,2.35,1,0,Medium
S0000,C026,5,2.15,1,0,Medium
S0000,C033,6,2.28,1,0,Medium
S0000,C035,6,2.5,1,1,Low
S0001,C003,1,2.46,1,0,Medium
S0001,C002,1,2.3,1,0,Medium
S0001,C009,1,2.2,1,0,Medium
S0001,C010,1,2.23,1,0,Medium
S0001,C005,1,2.09,1,0,Medium
S0001,C006,2,2.08,1,0,Medium
S0001,C001,2,1.98,1,0,Medium
S0001,C004,2,2.03,1,0,Medium
S0001,C007,2,2.28,1,0,Medium
S0001,C008,2,2.07,1,0,Medium
S0001,C022,3,2.09,1,0,Medium
S0001,C020,3,2.07,1,0,Medium
S0001,C018,3,2.23,1,0,Medium
S0001,C016,3,2.0,1,0,Medium
S0001,C019,3,2.19,1,0,Medium
S0001,C014,4,2.15,1,0,Medium
S0001,C021,4,1.98,1,0,Medium
S0001,C012,4,2.08,1,0,Medium
S0001,C017,4,2.21,1,0,Medium
S0001,C015,4,2.2,1,0,Medium
S0001,C027,5,2.04,1,0,Medium
S0001,C024,5,1.99,1,0,Medium
S0001,C026,5,2.03,1,0,Medium
S0001,C030,5,2.01,1,1,Medium
S0001,C023,5,2.01,1,0,Medium
S0001,C038,6,2.01,1,0,Medium
S0001,C034,6,2.12,1,0,Medium
S0002,C001,1,2.45,1,0,Medium
S0002,C003,1,2.5,1,0,Low
S0002,C002,1,2.55,1,1,Low
S0002,C008,1,2.3,1,0,Medium
S0002,C007,2,2.65,1,1,Low
S0002,C004,2,2.32,1,0,Medium
S0002,C006,2,2.52,1,1,Low
S0002,C005,2,2.71,1,1,Low
S0002,C014,3,2.24,1,0,Medium
S0002,C012,3,2.49,1,1,Medium
S0002,C020,3,2.45,1,1,Medium
S0002,C022,3,2.3,1,0,Medium
S0002,C015,4,2.25,1,1,Medium
S0002,C011,4,2.37,1,1,Medium
S0002,C021,4,2.41,1,0,Medium
S0002,C018,4,2.26,1,0,Medium
S0002,C031,5,2.17,1,1,Medium
S0002,C028,5,2.15,1,0,Medium
S0002,C026,5,2.38,1,1,Medium
S0002,C024,5,2.37,1,1,Medium
S0002,C034,6,1.97,1,0,Medium
S0002,C033,6,2.03,1,0,Medium
S0003,C005,1,2.08,1,0,Medium
S0003,C002,1,1.98,1,0,Medium
S0003,C008,1,1.95,1,0,Medium
S0003,C004,1,1.78,1,0,Medium
S0003,C009,2,1.83,1,0,Medium
S0003,C001,2,2.01,1,0,Medium
S0003,C007,2,1.99,1,0,Medium
S0003,C003,2,1.82,1,0,Medium
S0003,C016,3,1.81,1,0,Medium
S0003,C020,3,1.93,1,0,Medium
S0003,C015,3,1.72,1,0,Medium
S0003,C022,3,1.87,1,0,Medium
S0003,C014,4,1.99,1,0,Medium
S0003,C013,4,1.65,1,0,Medium
S0003,C021,4,1.85,1,0,Medium
S0003,C012,4,1.85,1,0,Medium
S0003,C023,5,1.86,1,0,Medium
S0003,C028,5,1.86,1,0,Medium
S0003,C024,5,1.96,1,0,Medium
S0003,C027,5,1.84,1,0,Medium
S0003,C035,6,1.68,1,0,Medium
S0003,C040,6,1.59,1,0,Medium
S0004,C006,1,3.04,1,0,Low
S0004,C002,1,2.9,1,0,Low
S0004,C009,1,2.86,1,0,Low
S0004,C007,1,2.86,1,0,Low
S0004,C010,2,2.84,1,0,Low
S0004,C003,2,2.93,1,0,Low
S0004,C004,2,2.98,1,0,Low
S0004,C008,2,2.96,1,0,Low
S0004,C019,3,2.93,1,0,Low
S0004,C022,3,2.73,1,0,Low
S0004,C016,3,2.89,1,0,Low
S0004,C017,3,2.81,1,0,Low
S0004,C013,4,2.89,1,0,Low
S0004,C018,4,2.88,1,0,Low
S0004,C014,4,2.83,1,0,Low
S0004,C021,4,2.73,1,0,Low
S0004,C027,5,2.57,1,0,Low
S0004,C026,5,2.77,1,0,Low
S0004,C032,5,2.92,1,0,Low
S0004,C028,5,2.75,1,0,Low
S0004,C033,6,2.76,1,1,Low
S0004,C037,6,2.93,1,1,Low
S0005,C009,1,2.28,1,1,Medium
S0005,C006,1,2.03,1,0,Medium
S0005,C005,1,2.42,1,0,Medium
