src_id,dst_id,edge_type,weight
S0000,C004,enrolled_in,1.0
S0000,C010,enrolled_in,1.0
S0000,C001,enrolled_in,1.0
S0000,C009,enrolled_in,1.0
S0000,C006,enrolled_in,1.0
S0000,C003,enrolled_in,1.0
S0000,C002,enrolled_in,1.0
S0000,C007,enrolled_in,1.0
S0000,C012,enrolled_in,1.0
S0000,C020,enrolled_in,1.0
S0000,C019,enrolled_in,1.0
S0000,C016,enrolled_in,1.0
S0000,C015,enrolled_in,1.0
S0000,C021,enrolled_in,1.0
S0000,C011,enrolled_in,1.0
S0000,C018,enrolled_in,1.0
S0000,C027,enrolled_in,1.0
S0000,C031,enrolled_in,1.0
S0000,C024,enrolled_in,1.0
S0000,C026,enrolled_in,1.0
S0000,C033,enrolled_in,1.0
S0000,C035,enrolled_in,1.0
S0001,C003,enrolled_in,1.0
S0001,C002,enrolled_in,1.0
S0001,C009,enrolled_in,1.0
S0001,C010,enrolled_in,1.0
S0001,C005,enrolled_in,1.0
S0001,C006,enrolled_in,1.0
S0001,C001,enrolled_in,1.0
S0001,C004,enrolled_in,1.0
S0001,C007,enrolled_in,1.0
S0001,C008,enrolled_in,1.0
S0001,C022,enrolled_in,1.0
S0001,C020,enrolled_in,1.0
S0001,C018,enrolled_in,1.0
S0001,C016,enrolled_in,1.0
S0001,C019,enrolled_in,1.0
S0001,C014,enrolled_in,1.0
S0001,C021,enrolled_in,1.0
S0001,C012,enrolled_in,1.0
S0001,C017,enrolled_in,1.0
S0001,C015,enrolled_in,1.0
S0001,C027,enrolled_in,1.0
S0001,C024,enrolled_in,1.0
S0001,C026,enrolled_in,1.0
S0001,C030,enrolled_in,1.0
S0001,C023,enrolled_in,1.0
S0001,C038,enrolled_in,1.0
S0001,C034,enrolled_in,1.0
S0002,C001,enrolled_in,1.0
S0002,C003,enrolled_in,1.0
S0002,C002,enrolled_in,1.0
S0002,C008,enrolled_in,1.0
S0002,C007,enrolled_in,1.0
S0002,C004,enrolled_in,1.0
S0002,C006,enrolled_in,1.0
S0002,C005,enrolled_in,1.0
S0002,C014,enrolled_in,1.0
S0002,C012,enrolled_in,1.0
S0002,C020,enrolled_in,1.0
S0002,C022,enrolled_in,1.0
S0002,C015,enrolled_in,1.0
S0002,C011,enrolled_in,1.0
S0002,C021,enrolled_in,1.0
S0002,C018,enrolled_in,1.0
S0002,C031,enrolled_in,1.0
S0002,C028,enrolled_in,1.0
S0002,C026,enrolled_in,1.0
S0002,C024,enrolled_in,1.0
S0002,C034,enrolled_in,1.0
S0002,C033,enrolled_in,1.0
S0003,C005,enrolled_in,1.0
S0003,C002,enrolled_in,1.0
S0003,C008,enrolled_in,1.0
S0003,C004,enrolled_in,1.0
S0003,C009,enrolled_in,1.0
S0003,C001,enrolled_in,1.0
S0003,C007,enrolled_in,1.0
S0003,C003,enrolled_in,1.0
S0003,C016,enrolled_in,1.0
S0003,C020,enrolled_in,1.0
S0003,C015,enrolled_in,1.0
S0003,C022,enrolled_in,1.0
S0003,C014,enrolled_in,1.0
S0003,C013,enrolled_in,1.0
S0003,C021,enrolled_in,1.0
S0003,C012,enrolled_in,1.0
S0003,C023,enrolled_in,1.0
S0003,C028,enrolled_in,1.0
S0003,C024,enrolled_in,1.0
S0003,C027,enrolled_in,1.0
S0003,C035,enrolled_in,1.0
S0003,C040,enrolled_in,1.0
S0004,C006,enrolled_in,1.0
S0004,C002,enrolled_in,1.0
S0004,C009,enrolled_in,1.0
S0004,C007,enrolled_in,1.0
S0004,C010,enrolled_in,1.0
S0004,C003,enrolled_in,1.0
S0004,C004,enrolled_in,1.0
S0004,C008,enrolled_in,1.0
S0004,C019,enrolled_in,1.0
S0004,C022,enrolled_in,1.0
S0004,C016,enrolled_in,1.0
S0004,C017,enrolled_in,1.0
S0004,C013,enrolled_in,1.0
S0004,C018,enrolled_in,1.0
S0004,C014,enrolled_in,1.0
S0004,C021,enrolled_in,1.0
S0004,C027,enrolled_in,1.0
S0004,C026,enrolled_in,1.0
S0004,C032,enrolled_in,1.0
S0004,C028,enrolled_in,1.0
S0004,C033,enrolled_in,1.0
S0004,C037,enrolled_in,1.0
S0005,C009,enrolled_in,1.0
S0005,C006,enrolled_in,1.0
S0005,C005,enrolled_in,1.0
S0005,C004,enrolled_in,1.0
S0005,C001,enrolled_in,1.0
S0005,C008,enrolled_in,1.0
S0005,C003,enrolled_in,1.0
S0005,C002,enrolled_in,1.0
S0005,C015,enrolled_in,1.0
S0005,C014,enrolled_in,1.0
S0005,C018,enrolled_in,1.0
S0005,C020,enrolled_in,1.0
S0005,C011,enrolled_in,1.0
S0005,C013,enrolled_in,1.0
S0005,C016,enrolled_in,1.0
S0005,C019,enrolled_in,1.0
S0005,C031,enrolled_in,1.0
S0005,C023,enrolled_in,1.0
S0005,C025,enrolled_in,1.0
S0005,C024,enrolled_in,1.0
S0005,C037,enrolled_in,1.0
S0005,C040,enrolled_in,1.0
S0006,C010,enrolled_in,1.0
S0006,C004,enrolled_in,1.0
S0006,C006,enrolled_in,1.0
S0006,C003,enrolled_in,1.0
S0006,C008,enrolled_in,1.0
S0006,C007,enrolled_in,1.0
S0006,C014,enrolled_in,1.0
S0006,C019,enrolled_in,1.0
S0006,C022,enrolled_in,1.0
S0006,C012,enrolled_in,1.0
S0006,C018,enrolled_in,1.0
S0006,C011,enrolled_in,1.0
S0006,C023,enrolled_in,1.0
S0006,C025,enrolled_in,1.0
S0006,C031,enrolled_in,1.0
S0006,C039,enrolled_in,1.0
S0006,C040,enrolled_in,1.0
S0007,C009,enrolled_in,1.0
S0007,C007,enrolled_in,1.0
S0007,C010,enrolled_in,1.0
S0007,C005,enrolled_in,1.0
S0007,C006,enrolled_in,1.0
S0007,C001,enrolled_in,1.0
S0007,C004,enrolled_in,1.0
S0007,C003,enrolled_in,1.0
S0007,C002,enrolled_in,1.0
S0007,C008,enrolled_in,1.0
S0007,C017,enrolled_in,1.0
S0007,C013,enrolled_in,1.0
S0007,C016,enrolled_in,1.0
S0007,C012,enrolled_in,1.0
S0007,C020,enrolled_in,1.0
S0007,C011,enrolled_in,1.0
S0007,C022,enrolled_in,1.0
S0007,C015,enrolled_in,1.0
S0007,C019,enrolled_in,1.0
S0007,C014,enrolled_in,1.0
